,,,,,,,
,HEAD TEST KIT BOM LIST,,,,,,
,,,,,,,
,NO,품명,규격,제조사,필요수량,구매수량,비고
,1,ELCB,EBS32Fb-20A 30mA,LS ELECTRIC,1,0,
,2,MCCB,EBS32Fb-10A 30mA,LS ELECTRIC,1,0,
,3,CP,GCP32AN-5A,HONEYWELL,1,0,
,4,,GCP32AN-3A,HONEYWELL,1,0,
,5,,GCP32AN-1A,HONEYWELL,1,0,
,6,,GCP31AN-5A,HONEYWELL,1,0,
,7,NOISE FILTER,WYFT10T1AD,WOONYOUNG,1,0,
,8,,WYFT05T1AD,WOONYOUNG,1,0,
,9,SMPS,MDR-100-24,MEANWELL,1,0,
,10,MC,MC-22b / DC24V,LS ELECTRIC,1,0,
,11,,MC-9b / DC24V,LS ELECTRIC,1,0,
,12,RELAY,HR710-2PL,KACON,2,1,
,13,RELAY SOCKET,KLY2C,KACON,2,0,
,14,TB,KTB1-03003-C,KACON,1,0,
,15,,KTB2-015,KACON,8,0,
,16,,XTB-COM20B,SAMWON ACT,1,0,
,17,PLC UNIT,XGP-AC23,LS ELECTRIC,1,1,
,18,,XGP-CPUE,LS ELECTRIC,1,1,
,19,,XGI-D24A,LS ELECTRIC,1,1,
,20,,XGQ-TR4A,LS ELECTRIC,1,1,
,21,,XGF-PN8B,LS ELECTRIC,1,0,
,22,,XGB-06M,LS ELECTRIC,1,1,
,23,I/O TB,TG7-1H40Q,SAMWON ACT,2,2,
,24,SERVO DRIVER,IX7NHA-004,LS ELECTRIC,2,2,
,25,BUSBAR,WSIG6-M412,구리구리 닷컴,1,0,
,26,TOUCH MONITOR,TOPRX0800SD,M2I CORPORATION,1,0,
,27,PILOT LAMP,KGP-LV2G,KG AUTO,1,0,
,28,PUSH BUTTON LAMP,KGX-LMD21G,KG AUTO,1,0,
,29,,KGX-LMD21R,KG AUTO,1,0,
,30,,KGX-LMD21A,KG AUTO,1,0,
,31,EMS SWITCH + EMS GUIDE,A22E-M-10,OMRON,1,0,
